Country.Region,day,value
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
US,3.11.20,0
US,3.12.20,0
US,3.13.20,0
US,1.22.20,0
US,1.23.20,0
US,1.24.20,0
US,1.25.20,0
US,1.26.20,0
US,1.27.20,0
US,1.28.20,0
US,1.29.20,0
US,1.30.20,0
US,1.31.20,0
US,2.1.20,0
US,2.2.20,0
US,2.3.20,0
US,2.4.20,0
US,2.5.20,0
US,2.6.20,0
US,2.7.20,0
US,2.8.20,0
US,2.9.20,0
US,2.10.20,0
US,2.11.20,0
US,2.12.20,0
US,2.13.20,0
US,2.14.20,0
US,2.15.20,0
US,2.16.20,0
US,2.17.20,0
US,2.18.20,0
US,2.19.20,0
US,2.20.20,0
US,2.21.20,0
US,2.22.20,0
US,2.23.20,0
US,2.24.20,0
US,2.25.20,0
US,2.26.20,0
US,2.27.20,0
US,2.28.20,0
US,2.29.20,0
US,3.1.20,0
US,3.2.20,0
US,3.3.20,0
US,3.4.20,0
US,3.5.20,0
US,3.6.20,0
US,3.7.20,0
US,3.8.20,0
US,3.9.20,0
US,3.10.20,0
